B2,n_donated,n_people,total_donation,max_donation,avg_donation,has_donation,donation_rate
20180527-123001_539_live,0,2,0.0,0.0,0.0,0,0.0
20180527-210026_713_live,0,2,0.0,0.0,0.0,0,0.0
20180528-051652_449_live,0,2,0.0,0.0,0.0,0,0.0
20180717-200206_41_live,2,2,1.0,0.5,0.5,1,100.0
20180719-120436_413_live,0,2,0.0,0.0,0.0,0,0.0
20180719-122534_38_live,1,2,0.5,0.5,0.25,1,50.0
20180719-165941_192_live,0,2,0.0,0.0,0.0,0,0.0
20180719-175233_833_live,1,2,0.05,0.05,0.025,1,50.0
20180719-181845_211_live,0,2,0.0,0.0,0.0,0,0.0
20180719-182453_233_live,0,2,0.0,0.0,0.0,0,0.0
20180719-200311_664_live,1,2,0.5,0.5,0.25,1,50.0
20180719-202443_897_live,1,2,1.0,1.0,0.5,1,50.0
20180719-204358_391_live,0,2,0.0,0.0,0.0,0,0.0
20180719-210146_172_live,1,2,0.25,0.25,0.125,1,50.0
20180719-210149_80_live,0,2,0.0,0.0,0.0,0,0.0
20180719-211253_768_live,1,2,0.5,0.5,0.25,1,50.0
20180719-211301_463_live,0,2,0.0,0.0,0.0,0,0.0
20180719-211846_176_live,0,2,0.0,0.0,0.0,0,0.0
20180719-212219_934_live,1,2,0.5,0.5,0.25,1,50.0
20180719-213345_510_live,0,2,0.0,0.0,0.0,0,0.0
20180723-025150_733_live,2,2,0.4,0.2,0.2,1,100.0
20180723-031022_254_live,1,2,1.0,1.0,0.5,1,50.0
20180723-034109_263_live,1,2,1.0,1.0,0.5,1,50.0
20180723-034654_121_live,0,2,0.0,0.0,0.0,0,0.0
20180723-040634_575_live,1,2,1.25,1.25,0.625,1,50.0
20180723-041117_988_live,2,2,0.6,0.5,0.3,1,100.0
20180723-042226_724_live,1,2,0.5,0.5,0.25,1,50.0
20180723-042342_809_live,0,2,0.0,0.0,0.0,0,0.0
20180723-042344_940_live,0,2,0.0,0.0,0.0,0,0.0
20180723-042421_113_live,1,2,0.5,0.5,0.25,1,50.0
20180723-044617_32_live,1,2,0.5,0.5,0.25,1,50.0
20180723-052203_936_live,1,2,0.5,0.5,0.25,1,50.0
20180723-055038_776_live,1,2,0.5,0.5,0.25,1,50.0
20180723-060959_447_live,0,2,0.0,0.0,0.0,0,0.0
20180723-061928_535_live,1,2,100.0,100.0,50.0,1,50.0
20180723-062856_180_live,1,2,0.1,0.1,0.05,1,50.0
20180723-064603_378_live,0,2,0.0,0.0,0.0,0,0.0
20180723-064816_188_live,1,2,0.25,0.25,0.125,1,50.0
20180723-070336_48_live,0,2,0.0,0.0,0.0,0,0.0
20180723-072435_196_live,1,2,0.01,0.01,0.005,1,50.0
20180723-073352_280_live,1,2,0.05,0.05,0.025,1,50.0
20180723-073908_711_live,1,2,0.5,0.5,0.25,1,50.0
20180723-074147_879_live,0,2,0.0,0.0,0.0,0,0.0
20180723-075339_567_live,0,2,0.0,0.0,0.0,0,0.0
20180723-080158_200_live,0,2,0.0,0.0,0.0,0,0.0
20180723-080248_452_live,1,2,0.01,0.01,0.005,1,50.0
20180723-082451_335_live,0,2,0.0,0.0,0.0,0,0.0
20180723-085449_363_live,1,2,700.0,700.0,350.0,1,50.0
20180723-091102_738_live,0,2,0.0,0.0,0.0,0,0.0
20180723-091419_371_live,1,2,0.25,0.25,0.125,1,50.0
20180723-091508_49_live,0,2,0.0,0.0,0.0,0,0.0
20180723-093434_153_live,0,2,0.0,0.0,0.0,0,0.0
20180723-093509_578_live,2,2,2.0,1.0,1.0,1,100.0
20180723-094026_937_live,1,2,1.0,1.0,0.5,1,50.0
20180723-094242_630_live,1,2,1.0,1.0,0.5,1,50.0
20180723-100140_767_live,0,2,0.0,0.0,0.0,0,0.0
20180723-100855_385_live,0,2,0.0,0.0,0.0,0,0.0
20180723-101530_805_live,1,2,0.5,0.5,0.25,1,50.0
20180723-103902_895_live,1,2,0.25,0.25,0.125,1,50.0
20180723-105210_403_live,0,2,0.0,0.0,0.0,0,0.0
20180723-112016_503_live,1,2,0.01,0.01,0.005,1,50.0
20180723-113128_856_live,1,2,2.0,2.0,1.0,1,50.0
20180723-113700_19_live,2,2,2.0,1.0,1.0,1,100.0
20180723-114415_254_live,1,2,0.1,0.1,0.05,1,50.0
20180723-120745_544_live,0,2,0.0,0.0,0.0,0,0.0
20180723-120746_371_live,1,2,10.0,10.0,5.0,1,50.0
20180723-121545_265_live,1,2,0.25,0.25,0.125,1,50.0
20180723-122005_335_live,0,2,0.0,0.0,0.0,0,0.0
20180807-012950_732_live,0,2,0.0,0.0,0.0,0,0.0
20180807-032253_379_live,1,2,0.5,0.5,0.25,1,50.0
20180807-033103_193_live,2,2,200.0,100.0,100.0,1,100.0
20180807-033356_731_live,1,2,10.0,10.0,5.0,1,50.0
20180807-034050_594_live,2,2,10.5,10.0,5.25,1,100.0
20180807-034917_827_live,0,2,0.0,0.0,0.0,0,0.0
20180807-035644_415_live,2,2,100.2,100.0,50.1,1,100.0
20180807-045213_750_live,1,2,1.0,1.0,0.5,1,50.0
20180807-045406_433_live,0,2,0.0,0.0,0.0,0,0.0
20180807-052301_924_live,1,2,2.0,2.0,1.0,1,50.0
20180807-052510_771_live,1,2,500.0,500.0,250.0,1,50.0
20180807-052536_131_live,0,2,0.0,0.0,0.0,0,0.0
20180807-054926_223_live,0,2,0.0,0.0,0.0,0,0.0
20180807-060826_638_live,0,2,0.0,0.0,0.0,0,0.0
20180807-070049_381_live,1,2,0.1,0.1,0.05,1,50.0
20180807-070744_909_live,1,2,1.0,1.0,0.5,1,50.0
20180807-081912_387_live,0,2,0.0,0.0,0.0,0,0.0
20180807-094907_712_live,0,2,0.0,0.0,0.0,0,0.0
20180807-101812_237_live,2,2,2.0,1.0,1.0,1,100.0
20180807-103432_350_live,0,2,0.0,0.0,0.0,0,0.0
20180807-110023_918_live,1,2,0.01,0.01,0.005,1,50.0
20180807-114219_318_live,1,2,1.0,1.0,0.5,1,50.0
20180807-114503_772_live,0,2,0.0,0.0,0.0,0,0.0
20180807-114750_102_live,0,2,0.0,0.0,0.0,0,0.0
20180807-120710_327_live,1,2,0.25,0.25,0.125,1,50.0
20180807-120949_23_live,1,2,0.75,0.75,0.375,1,50.0
20180807-193534_716_live,2,2,1.0,0.5,0.5,1,100.0
20180807-200337_482_live,0,2,0.0,0.0,0.0,0,0.0
20180807-203024_672_live,2,2,1.5,1.0,0.75,1,100.0
20180807-204441_24_live,2,2,1.5,1.0,0.75,1,100.0
20180807-210436_738_live,0,2,0.0,0.0,0.0,0,0.0
20180807-210743_128_live,0,2,0.0,0.0,0.0,0,0.0
20180807-212225_748_live,2,2,2.25,2.0,1.125,1,100.0
