original_index,dialog_id,turn,utterance,mistral_category,mistral_strategy,qwen_strategy
0,20180904-045349_715_live,0,Good morning. How are you doing today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
2,20180904-045349_715_live,1,I'm doing pretty good for a Tuesday morning. ,Conversation Management,Greeting / Rapport,Greeting / Rapport
4,20180904-045349_715_live,2,Ugh yes it does!,Conversation Management,Greeting / Rapport,Greeting / Rapport
6,20180904-045349_715_live,3,Where are you from? ,Conversation Management,Qualification / Segmentation,Qualification / Segmentation
8,20180904-045349_715_live,4,I'm from the South East. It's always warm here. ,Conversation Management,Qualification / Segmentation,Greeting / Rapport
10,20180904-045349_715_live,5,We're about to get hit by a tropical storm.,Urgency / Scarcity,Urgency,Urgency
12,20180904-045349_715_live,6,Me too. It's just part of living on the Gulf. You have to be prepared for it.,Conversation Management,Greeting / Rapport,Acknowledgement
14,20180904-045349_715_live,7,We do. I guess I should get into what this chat is supposed to be about. Have you heard of the Charity Save The Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
16,20180904-045349_715_live,8,I like that they're committed to helping children in need. They're very transparent in their work and do great things to help children in underprivileged countries. ,Authority / Expertise,Credibility Appeal,Appeal to Values
18,20180904-045349_715_live,9,I'm planning on donating most of my earnings today. Would you like to donate as well?,Call to Action,Call to Action,
20,20180904-045349_715_live,10,Yes it would. Any little bit helps. Thank you for your donation!,Conversation Management,Acknowledgement,Acknowledgement
21,20180904-154250_98_live,0,Good Evening,Conversation Management,Greeting / Rapport,Greeting / Rapport
23,20180904-154250_98_live,1,I am doing well! How are doing today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
25,20180904-154250_98_live,2,I'd like to tell you about a great program I am working on!  Have you ever heard of Save the Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
27,20180904-154250_98_live,3,Save the Children is a non-governmental organization that operations world wide raising funds through partners and donations to fight for children's rights and provide relief and support for children in developing countires. ,Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
29,20180904-154250_98_live,4,I would and I have!  9 out of every 10 dollars goes directly to a child in need. ,Rational / Impact Appeal,Rational Appeal,Rational Appeal
31,20180904-154250_98_live,5,"Absolutely!  There are a variety of ways to be a part of the program outside of donations.  They have a program to sponsor a child in need, you can throw a fundraising event or participate in events such as triatholons to raise funds, or help advocate for children.  ",Exchange / Incentives,Rewarding Activity,Framing
33,20180904-154250_98_live,6,You are more than welcome to donate today and your donation will be sent to Save the Children to go towards programs that help the children directly.  ,Call to Action,Call to Action,
35,20180904-154250_98_live,7,"You can donate up to two dollars of your payment, but more is always appreciated! ",Call to Action,Call to Action,Framing
37,20180904-154250_98_live,8,Thank you so much for you generous donation!  To answer any more questions the link is  URL ,Conversation Management,Acknowledgement,Acknowledgement
39,20180904-154250_98_live,9,You're welcome and thank you!  Have a great rest of your evening!,Conversation Management,Acknowledgement,Conversation Closing
41,20180904-024226_703_live,0,"Hi, how are you today?",Conversation Management,Greeting / Rapport,Greeting / Rapport
43,20180904-024226_703_live,1,Not too bad :) Have you heard of Save The Children?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
45,20180904-024226_703_live,2,They do greeat work at least I think what about you?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
47,20180904-024226_703_live,3,I know normally I am too but I was convinced to research them once by a very giving friend and I found that they do a lot of awesome work and a big majority if not all donations go back into the charity and lining someones pocket,Authority / Expertise,Credibility Appeal,Social Proof
49,20180904-024226_703_live,4,"hehe, I meant rather then lining someones pocket....So do I have your commitment to donating some today at the end of the HIT?",Call to Action,Call to Action,Commitment and Consistency
51,20180904-024226_703_live,5,They give you an option at the end of the HIT to donate even 0.01 would be very helpful....a penny couldn't hurt could it?,Call to Action,Call to Action,Framing
53,20180904-024226_703_live,6,"Good, and I'll match and times it by five and now we'll have donated 0.06",Exchange / Incentives,Reciprocity,
55,20180904-024226_703_live,7,"yes, it'l be taken from your bonus and you won't even notice it missing to be honest.... good karma.... maybe you'll be lucky today ;)",Exchange / Incentives,Reciprocity,Appeal to Values
57,20180904-024226_703_live,8,how's the weather?,Conversation Management,Greeting / Rapport,Non-persuasive Other
59,20180904-024226_703_live,9,it's warm but not rainy that I know of,Conversation Management,Greeting / Rapport,Non-persuasive Other
61,20180904-100019_870_live,0,"Hi, my name is Nicole how are you today?",Conversation Management,Greeting / Rapport,Greeting / Rapport
63,20180904-100019_870_live,1,"Wonderful Ted, I m pretty good myself",Conversation Management,Greeting / Rapport,Greeting / Rapport
